CLK_REF_COUNTER,CPU0_CLOCK_COUNTER,CPU0_CACHE_REFILL,CPU0_CACHE_ACCESS,CPU0_READ_STALL,CPU0_WRITE_STALL,CPU0_INSTR_RENAME,CPU0_BRANCH_MISS,CPU1_CLOCK_COUNTER,CPU1_CACHE_REFILL,CPU1_CACHE_ACCESS,CPU1_READ_STALL,CPU1_WRITE_STALL,CPU1_INSTR_RENAME,CPU1_BRANCH_MISS,
1491874338570000000, 47069360, 0, 821577702, 0, 0, 4107909144, 0, 5551, 0, 0, 0, 0, 0, 0, 
1491874338629000000, 47682706, 0, 832283369, 0, 0, 4161437486, 0, 5615, 0, 0, 0, 0, 0, 0, 
1491874338688000000, 48294705, 0, 842965530, 0, 0, 4214848288, 0, 5679, 0, 0, 0, 0, 0, 0, 
1491874338745000000, 48892221, 0, 853394904, 0, 0, 4266995156, 0, 5743, 0, 0, 0, 0, 0, 0, 
1491874338804000000, 49503807, 0, 864069874, 0, 0, 25402702, 0, 5807, 0, 0, 0, 0, 0, 0, 
1491874338863000000, 50125343, 0, 874918498, 0, 0, 79645834, 0, 5871, 0, 0, 0, 0, 0, 0, 
1491874338921000000, 50726324, 0, 885408344, 0, 0, 132095060, 0, 5935, 0, 0, 0, 0, 0, 0, 
1491874338979000000, 51327225, 0, 895896791, 0, 0, 184537290, 0, 5999, 0, 0, 0, 0, 0, 0, 
1491874339036000000, 51922053, 0, 906279250, 0, 0, 236449584, 0, 6063, 0, 0, 0, 0, 0, 0, 
1491874339094000000, 52524331, 0, 916791740, 0, 0, 289012040, 0, 6127, 0, 0, 0, 0, 0, 0, 
1491874339152000000, 53129183, 0, 927349148, 0, 0, 341799076, 0, 6191, 0, 0, 0, 0, 0, 0, 
1491874339210000000, 53731305, 0, 937858919, 0, 0, 394347934, 0, 6255, 0, 0, 0, 0, 0, 0, 
1491874339267000000, 54326198, 0, 948242501, 0, 0, 446265850, 0, 6319, 0, 0, 0, 0, 0, 0, 
1491874339324000000, 54920299, 0, 958612268, 0, 0, 498114684, 0, 6383, 0, 0, 0, 0, 0, 0, 
1491874339386000000, 55568973, 0, 969934574, 0, 0, 554726206, 0, 6447, 0, 0, 0, 0, 0, 0, 
1491874339444000000, 56168661, 0, 980401868, 0, 0, 607062680, 0, 6511, 0, 0, 0, 0, 0, 0, 
1491874339501000000, 56765071, 0, 990811925, 0, 0, 659112960, 0, 6575, 0, 0, 0, 0, 0, 0, 
1491874339559000000, 57367906, 0, 1001334140, 0, 0, 711724040, 0, 6639, 0, 0, 0, 0, 0, 0, 
1491874339616000000, 57965685, 0, 1011768104, 0, 0, 763893864, 0, 6703, 0, 0, 0, 0, 0, 0, 
1491874339675000000, 58581419, 0, 1022515448, 0, 0, 817630582, 0, 6767, 0, 0, 0, 0, 0, 0, 
1491874339734000000, 59195617, 0, 1033236000, 0, 0, 871233346, 0, 6831, 0, 0, 0, 0, 0, 0, 
1491874339793000000, 59810842, 0, 1043974478, 0, 0, 924925726, 0, 6895, 0, 0, 0, 0, 0, 0, 
1491874339852000000, 60426178, 0, 1054714889, 0, 0, 978627778, 0, 6959, 0, 0, 0, 0, 0, 0, 
1491874339911000000, 61039465, 0, 1065419532, 0, 0, 1032151000, 0, 7023, 0, 0, 0, 0, 0, 0, 
